school_distances_m,hospital_distances_m,transit_distances_m,competitor_distances_m,Outlet_ID
[838.0],[],[],"[1702.4, 1646.5, 1833.6, 1534.1]",OUT_00034
[1391.0],[],[],[],OUT_00035
[],[],[],[],OUT_00036
[],[],[],[],OUT_00037
[],[],[],[],OUT_00038
[],[],[],[1579.7],OUT_00039
"[1831.2, 1260.7, 1922.4, 1279.7, 1306.6, 1508.3, 827.8, 875.0, 1301.8, 1587.8, 1354.8, 691.2, 1994.1, 982.5, 1587.8, 1950.3, 796.4, 1687.5, 1076.7, 943.4, 1645.1, 1617.3, 1696.5, 1921.4, 1658.5, 1738.5, 1606.8, 1458.8, 1446.2, 770.8]","[1962.1, 1487.6, 1876.9]","[1418.9, 934.3, 1641.7, 1629.5, 1619.0, 1845.2, 1535.0, 1529.5, 1592.0, 874.8, 909.7, 1624.0, 1958.2, 1617.9, 896.2, 1543.3, 1941.7, 1955.4, 1559.0, 1542.0, 892.9, 1434.9, 1793.6, 1018.3, 1785.6, 1646.5, 1689.1, 762.8, 775.9]","[1517.3, 1587.2, 1599.5, 1979.5, 882.0, 924.2, 740.7, 954.8, 1872.7, 1371.9, 990.8, 1430.7, 785.8, 897.1, 1237.9, 633.9, 466.2, 1119.8, 1627.6, 1838.2, 1482.0, 1342.3, 1129.9, 802.8, 1650.7, 1522.5, 1983.1, 1633.6, 1541.9, 971.0, 819.8, 1543.8, 1800.0, 1724.5, 1506.6, 914.1, 711.6]",OUT_00040
[],[],[],[],OUT_00041
[1809.0],[],[],[1935.4],OUT_00042
"[1514.2, 1752.3]",[],[1871.6],"[1932.7, 1754.3, 1269.0, 832.2, 1785.8, 1964.9, 1953.4, 1468.9, 1427.3, 1179.2]",OUT_00043
"[957.0, 770.4, 867.2, 1136.6, 572.2, 627.5, 1894.2, 1811.2, 1978.8, 1133.4, 2001.5, 1341.7, 1956.8, 1865.1, 1382.3, 1041.4, 1318.2, 1382.9, 1462.0, 1115.8, 1119.9, 882.8, 1748.3, 1010.2, 1087.2, 510.7, 1267.0, 1251.0, 1291.3, 627.9, 842.5, 851.5, 1128.1, 1037.4, 1064.1]",[1447.9],"[1113.3, 1482.8, 1868.4, 1710.7, 1994.1, 1497.9, 1904.5, 534.5, 1507.7, 1499.0, 906.8, 1295.6, 1764.5, 1289.4, 1122.1, 1481.8, 792.1, 1010.1, 316.3, 856.2, 1039.6, 347.1, 1288.4, 1440.0, 1518.0, 1982.1, 1955.8, 1496.5, 1884.9, 1658.1, 1336.3, 1559.3, 1400.6, 1594.5, 1707.8, 1975.0, 1560.6, 1524.7]","[1668.3, 1590.3, 1618.8, 1716.2, 832.3, 658.2, 1783.1, 1338.2, 1641.9, 1766.6, 981.0, 877.1, 1137.8]",OUT_00044
"[223.4, 339.3, 724.0, 1473.5]",[],"[1682.1, 1027.6, 279.2, 391.5, 832.1]",[897.7],OUT_00045
[1138.1],[],[],[],OUT_00046
"[1660.9, 803.8, 1945.7, 1630.3]",[],"[1610.7, 1340.3]","[1951.9, 1328.9, 1459.5, 1881.4, 1107.2, 1982.3, 1309.3, 1308.7, 1568.4]",OUT_00047
[260.3],[],[1655.9],"[346.9, 664.7, 1156.0]",OUT_00048
[957.8],[],[],"[1447.1, 1217.2, 1837.2]",OUT_00049
"[1955.9, 1634.2]",[],"[799.4, 1529.5, 1350.9, 626.9, 1059.4, 1522.9]",[],OUT_00050
"[1779.3, 1653.9, 1520.3, 1815.9, 1869.8, 1724.7, 1993.9]","[1581.7, 1648.0]","[1666.3, 1383.9, 1445.6, 1488.3, 1407.3, 1244.6, 1253.0, 1923.5, 1898.6, 1874.0, 1838.3, 1855.3, 1822.9, 1507.4, 1702.8, 1836.7, 1669.2, 1844.8, 1227.6, 1509.6, 1251.8, 1387.3, 1398.4]","[1542.8, 1330.1, 1279.6, 1512.0, 1832.6, 315.2, 1251.1, 1989.1]",OUT_00051
[],[],[],[],OUT_00052
[1510.9],[],[1493.5],[],OUT_00053
"[1205.0, 330.0, 581.0, 1875.8]",[1201.2],[1242.8],"[1586.7, 1287.1, 1313.4, 1742.8, 1280.7, 985.8, 1264.5]",OUT_00054
[655.4],[],[],[514.7],OUT_00055
[],[347.2],[],[],OUT_00056
[],[],[],[],OUT_00057
[],[],[],[],OUT_00058
"[1829.6, 1101.6, 1100.3]",[],[],"[1433.8, 1602.7, 1638.5]",OUT_00059
[1997.3],[],"[735.5, 1999.7]","[1975.1, 1182.1]",OUT_00060
[],[1935.8],[1189.5],[],OUT_00061
"[658.9, 1484.2, 1724.5, 1196.6, 1309.7, 1941.8, 1615.9, 1110.4, 1686.5, 1241.9]","[1284.6, 1438.1, 1450.4]","[1330.2, 1871.2, 1360.5, 1640.9, 1761.2, 1432.3, 1680.1, 1514.4, 1836.8]","[1707.0, 1613.0, 1491.5, 1922.8, 1346.9, 1327.1, 1424.0]",OUT_00062
[],[],[],[],OUT_00063
[],[],[],[],OUT_00064
[],[],[],"[1956.6, 1931.4, 1617.2]",OUT_00065
"[1628.0, 1357.5, 1963.3]",[],[],"[1806.2, 1650.8, 1670.1, 1714.8, 1865.4]",OUT_00066
[],[],[],[],OUT_00067
[],[],[],[],OUT_00068
"[1280.5, 1683.4, 1497.2, 875.8, 289.0, 296.6]",[1627.8],"[1251.6, 1257.0, 1382.3, 1358.8, 1381.5, 1742.4, 1687.7]","[1411.0, 1222.3, 1732.7, 1574.3, 1265.2, 1434.4]",OUT_00069
"[204.7, 1126.9, 891.1, 1613.4, 1439.0, 1674.0, 1052.3, 1638.6, 1185.7, 1589.5, 1568.5]","[683.4, 1293.4, 1049.6]","[600.2, 1662.9, 611.7, 1310.9, 1471.2, 906.4, 1982.1, 1348.6, 680.1]","[1408.0, 785.0, 1080.1, 1744.3, 671.5, 615.8, 1033.7]",OUT_00070
[1764.3],[],[976.5],[1568.0],OUT_00071
"[1541.4, 1409.4, 1242.0, 1653.6, 1771.8, 1945.6, 1083.6, 1806.0, 1721.4, 1637.5]",[1130.1],[],"[1274.1, 1146.2, 1126.2, 1276.6, 1154.5, 1553.2, 1255.2]",OUT_00072
[],[],[1905.8],[],OUT_00073
"[607.8, 1525.4, 1331.3, 1846.6, 908.8]",[],"[1005.7, 1287.2, 1837.6, 1496.1, 548.5, 784.0, 1191.1, 600.2, 462.8, 807.0, 1743.2, 556.3, 1290.0, 807.3, 1744.8, 822.6, 1915.6, 1934.1]","[697.3, 1032.1, 788.8, 1486.4, 1440.5, 1183.9]",OUT_00074
[],[],[],[],OUT_00075
"[1991.7, 1292.6]",[],[89.4],[399.5],OUT_00076
"[1701.9, 1870.8]",[],[],"[1969.0, 1882.1, 1993.5, 1850.4]",OUT_00077
"[1829.2, 437.4]",[],"[1695.4, 1692.9, 1395.2, 1956.1, 1949.1, 1263.4, 1209.3, 1555.2, 1515.8, 1282.9, 1232.6, 1127.2, 1013.1, 620.1, 596.2, 1548.4, 1997.0, 1788.3, 1982.7, 208.9, 274.4, 1011.1, 537.3, 620.4, 317.2, 362.2, 1185.7, 531.8, 827.5, 900.6, 234.7, 202.7, 692.4, 749.6, 473.8, 1157.3, 926.3, 1911.3, 1915.1]","[1927.9, 363.8, 1996.6, 1164.0, 364.8, 1901.4, 1661.8]",OUT_00078
[587.4],[],[],[],OUT_00079
[],[1498.6],[],"[1447.8, 1083.6]",OUT_00080
[],[],[1918.5],[1443.9],OUT_00081
"[1297.1, 408.1, 957.5, 1293.6, 1776.6]",[1567.0],"[1421.7, 1816.4]","[1887.0, 706.5, 1112.8, 804.5, 1483.6]",OUT_00082
[],[],[1995.5],[],OUT_00083
[1617.4],[],"[1131.2, 1180.6, 1386.1, 1138.9, 1787.6, 1829.8, 1387.5, 1607.7, 986.9, 1183.9, 1947.0, 1651.5, 1075.4, 1848.3, 1015.1, 722.3]",[],OUT_00084
[],[],[],[],OUT_00085
"[1548.4, 592.8, 1872.6]",[],[1199.5],[1566.1],OUT_00086
[],[],[1306.9],[1885.3],OUT_00087
[1292.6],[],"[1909.2, 1395.4, 1264.7]","[1960.1, 1888.7, 1528.9]",OUT_00088
"[1929.8, 757.8]",[],"[1180.5, 1929.4, 1567.0, 1591.4, 993.3, 1266.9, 1115.1, 1035.5, 1023.9, 1960.1, 1232.6, 1601.4, 1324.4, 810.7, 951.7, 1792.7, 1007.0, 1341.1, 1905.2, 1973.5, 1541.6, 808.2]",[],OUT_00089
[],[],[],[],OUT_00090
[1599.1],[],"[1465.5, 1151.2, 831.7]",[],OUT_00091
[],[],[],[],OUT_00092
"[1307.1, 940.4]",[1141.6],[],"[1776.4, 1780.0, 1547.4]",OUT_00093
"[1637.1, 1300.9, 1890.0, 1702.9, 1434.3, 1401.6, 1264.9, 716.5, 1942.4, 467.9, 1840.3, 1351.4, 1747.2, 1983.2, 1907.2, 1726.5, 1855.3, 1887.2, 1042.2, 1997.6, 703.5, 1674.6, 1734.8, 1019.5, 1547.3, 1816.0, 1277.6, 1405.3, 1758.6, 1154.4, 1582.7, 1260.3, 1682.9, 1773.4, 1999.7, 1741.2, 1711.5, 1632.4, 1075.7, 1179.7, 1339.1, 1320.1, 1382.5, 1781.7, 1767.4, 1056.3]","[1031.5, 1455.1, 1696.1, 1007.8, 1494.2, 179.7, 481.0, 1778.9]","[1819.8, 1057.5, 1794.1, 1522.7, 1401.4, 1362.5, 1609.2, 1739.9, 1287.4, 1626.2, 1660.9, 515.9, 1705.4, 1925.6, 1894.5, 1876.3, 1823.5, 1822.5, 1840.6, 1842.0, 1772.7, 1558.6, 1093.6, 1488.9, 1572.1, 975.4, 988.1, 1197.2, 1844.0, 985.2, 932.3, 1976.5, 1767.7, 1372.8, 1152.3, 219.8, 774.4]","[795.7, 1734.4, 1826.9, 1853.6, 1785.9, 1401.6, 1561.2, 210.3, 1884.3, 1099.5, 1198.1, 1732.5, 1617.2, 1806.0, 1634.0, 1715.3, 1434.5, 1547.4, 1652.8, 1926.7, 1361.3, 1424.3, 1825.4, 752.5, 1151.4, 1985.7, 1819.9, 1168.8]",OUT_00094
[1871.1],[],[],[],OUT_00095
[],[],[],[],OUT_00096
[1764.4],"[1399.6, 1436.8, 1377.6]","[1998.3, 1986.6]",[1974.6],OUT_00097
[1919.6],[],[1928.1],[],OUT_00098
"[397.4, 1971.2, 1090.5, 1166.5]",[],"[862.0, 770.6, 1012.7, 436.6, 590.4, 653.4, 658.5, 615.2, 1562.0, 1402.3, 1987.4, 1813.5, 1759.6, 1429.0, 1617.0]","[802.2, 791.8, 1219.2, 1121.2, 1437.1, 1421.4]",OUT_00099
"[1511.9, 652.2, 257.8, 1874.0, 1614.2, 1668.8]",[1853.4],"[99.8, 867.2, 1910.0, 1575.2, 1240.0, 537.7, 596.7, 1284.2, 866.0, 1629.0, 868.3, 90.5, 542.0, 1279.6, 1281.1, 862.1, 593.8, 1959.9, 1277.7, 1625.1, 1881.8]","[1694.8, 1869.7, 541.0, 274.4, 833.6, 1673.8, 1087.9]",OUT_00100
[],[],[],[],OUT_00101
[],[],[],[],OUT_00102
"[1527.9, 1396.3, 1872.2]",[1945.6],[],"[1845.0, 1688.5, 1707.8, 1752.5, 1957.1, 1845.7]",OUT_00103
"[1097.7, 511.3, 1651.2, 781.7, 1350.9, 407.4, 1049.8, 848.7, 1973.0, 657.5, 1921.6]","[1139.8, 746.0, 336.2, 538.6]","[966.2, 769.1, 1014.7, 604.5, 685.9, 688.7, 986.0, 638.4, 1319.3, 1475.9]","[641.4, 1606.3, 574.2, 820.0, 878.1, 931.4, 512.3]",OUT_00104
"[1526.2, 1686.1, 326.8, 922.9, 501.0]",[],[819.2],"[316.5, 219.5, 225.0, 246.0, 1871.8, 774.0]",OUT_00105
[],[],[],[],OUT_00106
[],[],[],[],OUT_00107
[],[],"[1897.6, 507.4]",[],OUT_00108
[],[],[],[],OUT_00109
[],[],[],[],OUT_00110
[1489.1],[],"[1499.6, 1593.7, 1726.9, 1801.2, 1810.2]",[364.6],OUT_00111
"[1867.9, 1870.7, 1521.2, 1612.1]",[],[],"[1981.5, 157.1, 1629.4, 1916.8]",OUT_00112
"[777.8, 946.2]",[],"[1406.7, 1452.5, 1624.1, 1849.7, 1563.1, 1638.8, 1966.6, 1809.9, 1503.0, 1071.6, 777.6, 750.9, 370.0, 693.9, 1491.4, 216.3, 1730.1, 803.2, 1934.8, 1819.9, 1719.9, 1514.4, 1523.3, 1000.4, 556.5, 1472.3, 1353.6, 1837.6, 667.8]",[],OUT_00113
[],[],[1381.5],[],OUT_00114
"[1803.2, 1917.0, 707.2, 611.9, 1398.1]","[1308.2, 976.1, 1015.7]","[1017.7, 1717.0, 1346.4, 449.4, 980.7, 1039.5, 1450.4, 1679.9]","[980.4, 1038.6, 773.9, 1122.4, 1955.8, 1803.7, 1076.0, 1300.1, 1783.6, 1007.8]",OUT_00115
[],[],"[853.9, 794.6, 1437.6, 1842.3, 1557.7, 1651.4, 1389.1, 836.7, 1045.1, 984.9, 1234.8, 1158.0]",[],OUT_00116
"[1918.7, 1787.5, 1598.0, 1933.2, 1942.1, 1900.7, 1764.1]",[1917.1],"[1807.9, 1888.4, 1903.0, 1825.6, 1771.1, 1824.9, 1809.4, 1818.8, 1865.6, 559.4, 1892.6]","[1957.0, 1050.6, 305.0, 1868.2, 1468.9, 1341.6, 1957.3, 1913.3, 1930.0]",OUT_00117
"[1606.8, 1351.9]","[1457.7, 647.8]","[1625.7, 774.8, 1984.2, 1971.3, 1822.4, 1734.5, 1636.6, 1277.3]","[1846.3, 1214.9, 1826.7]",OUT_00118
"[1421.9, 902.7, 620.5, 1749.9, 1252.5, 1746.8]","[1384.8, 1692.8, 1802.3]","[1651.4, 1180.9, 1686.7, 1806.5]","[1778.8, 1675.3, 1963.7, 1911.3, 1977.4, 1630.7, 654.3, 625.2, 629.8, 639.3, 1597.9, 1670.1]",OUT_00119
[],[],[],[],OUT_00120
"[1685.3, 1411.6, 1805.8, 1722.3, 1774.2]",[1704.6],"[1688.0, 1992.5, 1546.3, 1641.3, 1588.5, 1568.4, 1715.7, 1593.2, 1566.4, 1982.4, 1574.3, 1709.5, 1773.5, 1864.9, 1872.3, 1983.3]","[1700.8, 1774.6, 1574.2, 1582.6, 1713.7, 1645.9, 1864.0, 1668.5, 1273.4, 1770.3, 1778.3, 1748.6, 1750.7, 1552.5, 1681.9, 1782.9, 1709.1, 1687.1, 1648.0, 1992.9, 1998.7, 1985.1, 1813.8, 1782.5]",OUT_00121
"[1659.5, 1910.3]",[],[1870.5],[],OUT_00122
"[1858.6, 1845.8]",[],[1290.0],"[929.0, 970.8]",OUT_00123
[1770.6],[],[],[],OUT_00124
[],[],"[1643.1, 1199.8, 356.0, 446.4, 1424.8, 1621.5, 1737.5, 1920.7, 1760.3, 851.0, 901.6, 1594.2, 1377.7, 1696.6, 1465.8, 1177.6, 834.6, 687.5, 1776.2, 1687.0, 203.8, 1427.1, 934.6, 602.1]","[443.0, 391.6, 402.3]",OUT_00125
"[1335.4, 1132.8]",[1292.7],[],[],OUT_00126
[1883.1],[],[],"[1956.7, 1537.9, 1593.1]",OUT_00127
"[407.0, 1266.6, 1157.1, 1026.4, 669.5, 747.4]",[1858.9],[659.5],"[267.6, 967.9, 560.4, 868.0, 802.2]",OUT_00128
[884.7],[],[],"[1338.3, 1222.5]",OUT_00129
"[915.4, 1183.0, 1001.4, 311.8, 673.5, 924.0, 908.3, 683.1, 442.9, 1173.8, 1639.7, 1883.5, 1962.6, 446.7, 808.6, 766.7, 669.0, 819.1, 1106.7]","[1850.5, 1791.6, 1859.7, 636.3]",[],[651.6],OUT_00130
[1827.9],[],[1908.1],[],OUT_00131
[],[],"[836.9, 1350.1, 1181.8, 909.3, 1544.8]",[],OUT_00132
[],[],[1939.2],[600.0],OUT_00133
[],[],[],[],OUT_00134
"[1171.0, 913.3, 1328.3, 1005.1, 1334.9, 564.4, 997.4, 1661.4, 1662.5]","[1343.6, 1361.8, 1388.7]","[1712.8, 479.8, 1587.0, 1668.1, 1790.3, 705.5, 323.0, 1647.7, 780.5, 197.2, 1087.8, 1339.7, 1956.6, 1651.3, 1955.3, 742.4, 1982.0, 1450.2, 1201.2, 1092.6, 782.6, 1820.7, 1740.3, 2000.6, 1652.5, 807.2]","[1025.7, 388.4, 1793.2, 1523.6, 1943.4, 913.8, 264.0, 926.8, 1826.7]",OUT_00135
"[1483.6, 1955.1, 1240.2, 1633.6]","[1553.8, 1768.3, 1113.9]","[1916.5, 1269.8, 1306.9, 1739.7, 1312.4, 1280.2, 1369.8, 1515.4, 1916.1]","[1848.4, 1794.6, 1549.6, 1528.3, 1357.5, 1442.2, 1584.5, 1334.2, 1485.2, 1876.6, 1337.2, 1146.5]",OUT_00136
[],[],[],[],OUT_00137
"[1799.9, 1455.3, 1784.9]",[1674.0],[],[],OUT_00138
"[1093.9, 830.6]",[1016.6],[],"[678.8, 738.7]",OUT_00139
"[644.5, 1543.2]",[300.3],[],[],OUT_00140
[],[],[],[],OUT_00141
[],[],[],[],OUT_00142
[],[],[],[],OUT_00143
"[584.2, 1937.5, 647.1]",[],[],"[805.8, 993.4, 1724.3, 984.4, 776.6, 1035.8]",OUT_00144
"[375.1, 639.8]",[518.3],[],"[1761.5, 1553.2, 1390.8, 901.6, 949.8, 557.9]",OUT_00145
"[1024.2, 720.2, 332.5, 695.5, 931.3]",[],"[1646.5, 1737.3, 1681.0]","[1832.8, 925.2, 1820.7, 1462.1, 729.2, 689.0, 939.8, 1804.9, 1830.6, 633.6, 490.8]",OUT_00146
[373.1],[],[],[],OUT_00147
[1757.0],[],[],[],OUT_00148
"[1075.2, 1490.0]",[],[1426.6],[],OUT_00149
[],[],[],[],OUT_00150
"[690.7, 1916.5, 1501.4, 1780.0, 1524.4, 1814.1, 1503.1, 978.3, 1630.7]","[1699.6, 1934.4]",[435.2],"[1743.9, 1557.3, 765.3, 1059.4, 775.5, 1209.1, 1190.0, 1146.2, 621.4, 1515.6, 1995.3]",OUT_00151
"[1768.8, 1647.1, 1142.3, 291.9, 938.3]","[1380.3, 1046.4, 1695.4, 748.2]","[1079.0, 681.3, 1388.7, 1374.1, 1006.9, 743.0, 858.1, 1059.7, 1825.0]","[785.4, 1210.2, 644.9, 681.1, 1326.8, 1954.1, 1225.9, 1987.8, 1166.5, 1994.5, 964.6]",OUT_00152
"[407.8, 1962.5]",[],[],[],OUT_00153
[751.2],[732.6],[],[],OUT_00154
[],[],[],[],OUT_00155
"[1398.6, 1720.8]",[],[],[],OUT_00156
[],[],[],[],OUT_00157
[],[],[],[],OUT_00158
[],[],"[1574.6, 1451.1, 1260.7, 1744.5, 1398.4, 1766.7, 1904.6, 1523.3, 1863.1, 1604.2, 1704.1, 961.0, 1221.4, 671.5, 664.3, 931.3, 552.4, 603.8, 1688.5, 1397.3, 1294.3, 1221.9, 1111.8, 1212.4, 1093.7, 1359.2, 955.5, 1135.7]",[],OUT_00159
"[1670.7, 1967.8, 1630.5, 1724.2, 930.9, 1729.2, 1744.3, 1674.1]","[1286.7, 1410.2]","[1537.9, 1682.6, 1320.6, 1374.2, 1107.3, 1732.5, 1088.7, 1076.7, 1772.5, 1985.8, 1842.8, 1660.4, 1635.1]","[1564.7, 1887.0, 913.8, 1937.1, 1095.9, 1195.5, 1665.0, 1375.9, 1821.1, 1218.2, 1982.3, 1995.9, 1759.5, 1974.1, 1844.2, 1570.9, 1568.9, 1700.6, 1070.6, 1593.0]",OUT_00160
[],[],[],[],OUT_00161
[],[],[],[],OUT_00162
[1134.2],[977.1],[1611.8],"[1965.2, 1050.5]",OUT_00163
[],[],[],[],OUT_00164
[428.2],[],[],[],OUT_00165
"[1658.1, 1253.9, 322.8, 1512.1, 1110.6]",[1680.8],"[1964.4, 1224.4]","[1966.6, 1923.8, 599.4, 487.5, 502.1, 535.0, 1343.1, 1998.7]",OUT_00166
"[1368.0, 1365.2, 1580.3, 1023.1, 1116.4]",[],[],"[1688.1, 1682.1, 1532.5, 1516.5, 454.1, 1142.8, 1443.3]",OUT_00167
"[1588.4, 332.0, 39.4]",[],[],"[963.7, 597.9]",OUT_00168
"[1401.0, 1155.7, 452.1, 499.6, 1941.6, 1977.3]",[394.7],[876.3],"[1563.3, 1145.0, 1153.7, 1141.6, 781.7]",OUT_00169
"[1689.7, 1601.0, 1731.1, 1596.1, 1625.5]","[1861.2, 1643.9, 1654.8]","[1602.8, 1864.3, 1581.1, 1666.3, 1705.9, 1550.2, 1651.0, 1706.4]","[1700.9, 1716.9, 1619.2, 1933.1, 1574.4, 1599.8, 1681.5]",OUT_00170
[],[],[],[],OUT_00171
"[595.3, 661.4]",[],"[1404.1, 1186.2, 1781.7, 1482.9, 1674.6, 1946.9, 526.4, 362.5, 818.9, 1919.7, 600.1, 1947.6, 1965.4]",[1731.4],OUT_00172
[],[],[],[],OUT_00173
[],[],[],[1584.1],OUT_00174
[],[],[904.9],"[794.3, 751.7]",OUT_00175
[441.0],[1882.1],"[1782.8, 1417.4, 741.8]","[1860.6, 991.0]",OUT_00176
[],[],[1442.1],"[1603.1, 1560.2]",OUT_00177
[],[],[],[],OUT_00178
